product_family,from_process,to_process,transition,wait_count,waiting_p90_sec,waiting_median_sec
HANDLE,A3,AMR_LD250,A3->AMR_LD250,44,1243.7313000000017,167.511
HANDLE,A3,C2_FINISHED_STORAGE,A3->C2_FINISHED_STORAGE,1,1030.19,1030.19
HANDLE,A9_2,AMR_LD250,A9_2->AMR_LD250,1,930.583,930.583
HANDLE,C1_RAW_STORAGE,A1,C1_RAW_STORAGE->A1,32,344.37630000000024,118.87950000000001
HANDLE,C1_RAW_STORAGE,AMR_LD90,C1_RAW_STORAGE->AMR_LD90,148,173.9441,56.141999999999996
HANDLE,A7,A9_2,A7->A9_2,100,162.47520000000006,40.1635
HANDLE,A2,A4,A2->A4,134,78.5725,30.0235
HANDLE,AMR_LD250,C2_FINISHED_STORAGE,AMR_LD250->C2_FINISHED_STORAGE,18,53.2703,46.06
HANDLE,A9_2,A3,A9_2->A3,77,39.370000000000005,36.936
HANDLE,A4,A5,A4->A5,138,32.7568,22.058
HANDLE,A5,A6_TESLA,A5->A6_TESLA,57,32.7456,27.442
HANDLE,A5,A6_KONA,A5->A6_KONA,81,32.505,27.304
HANDLE,A6_KONA,A7,A6_KONA->A7,70,29.3819,26.7215
HANDLE,A6_TESLA,A7,A6_TESLA->A7,44,29.2447,26.73
HANDLE,A9_2,A8,A9_2->A8,95,27.7716,26.829
HANDLE,A1,A2,A1->A2,175,24.2784,22.812
HANDLE,A8,A9_2,A8->A9_2,105,21.8614,21.072
HANDLE,AMR_LD90,A1,AMR_LD90->A1,142,13.540000000000001,12.155000000000001
ROOM_MIRROR,A3,AMR_LD250,A3->AMR_LD250,6,3060.357,587.1505000000001
ROOM_MIRROR,A3,C2_FINISHED_STORAGE,A3->C2_FINISHED_STORAGE,3,2863.5038000000004,614.419
ROOM_MIRROR,A7,A5,A7->A5,60,635.7138,383.7455
ROOM_MIRROR,C1_RAW_STORAGE,A1,C1_RAW_STORAGE->A1,9,225.126,156.408
ROOM_MIRROR,C1_RAW_STORAGE,AMR_LD90,C1_RAW_STORAGE->AMR_LD90,68,174.2675,55.2555
ROOM_MIRROR,A2,A7,A2->A7,57,135.7908,83.172
ROOM_MIRROR,A5,A9_1,A5->A9_1,51,71.511,68.599
ROOM_MIRROR,A9_1,A3,A9_1->A3,47,54.3974,51.909
ROOM_MIRROR,AMR_LD250,C2_FINISHED_STORAGE,AMR_LD250->C2_FINISHED_STORAGE,12,53.3027,45.525
ROOM_MIRROR,A1,A2,A1->A2,69,23.8446,22.615
ROOM_MIRROR,AMR_LD90,A1,AMR_LD90->A1,59,13.6424,12.773
