rank,process,processing_p90_sec,waiting_p90_sec,wip_p90,occupancy_p90_sec,idle_ratio,alarm_ratio,manual_pages,semantic_meaning,semantic_scheduling_hint,semantic_physical_hint,bottleneck_score
1,A3,62.2132,2707.0995000000003,73.1,2567.898800000002,0.932184411366325,0.0,14-20,"완제품/NG 분류, 협동로봇 이송, 2단 적재 대기, IN/OUT 컨베이어, 스토퍼 기반 1개씩 배출 구조","A3 이후 대기는 반출 우선순위, AMR/모바일 컨베이어 배정, 완제품 대기 적재부 여유와 직접 연결된다.",2단 적재와 1개씩 배출 구조 때문에 출구 용량과 로봇 작업공간이 제한될 수 있다.,4.9992746848902545
2,A4,554.7967,78.5725,0.0,2747.221,0.8062905447627992,0.0,23-31,"사상 제거, 레이저 마킹, 산업용 로봇, 협동로봇, 툴체인저, 틸팅 유닛, 3개 파렛트 버퍼가 결합된 복합 공정","제품 종류 혼합, 툴체인지, 버퍼 점유를 고려한 WIP cap과 투입 제어가 일부 효과를 낼 수 있다.",다중 로봇과 틸팅/레이저/사상 작업이 한 CELL에 결합되어 처리시간 자체가 구조적으로 길 수 있다.,1.9110851726057647
3,AMR_LD90,123.8448,174.20350000000002,0.0,0.0,0.8572307911217717,0.07944630813863005,,,,,1.6827177362664112
4,A7,419.9076,635.7138,0.0,2420.125,0.8423500336241783,0.0,40-53,"드릴/TAP, 리벳/인서트 압입, 서보 프레스, 협동로봇, 버퍼 테이블이 포함된 가공/압입 구간",제품 종류별 EQ08/EQ09 분기와 A7 압입 순서를 따로 봐야 한다.,가공/압입은 실제 작업량과 설비 동작 시간이 병목의 주원인일 수 있다.,1.5093761238763808
5,A9_1,458.36990000000003,71.511,0.0,2776.6959000000015,0.9762432994648645,0.0005489731706376482,54-61,"코어 검사, 비전 검사, 직교 이송, 툴체인저, 조립검사, 볼트 공급/체결, 팔레트 대기/버퍼 공간이 결합된 후단 검사/조립 공정",A9 자체보다 A8/A9 공급 균형과 A3 반출 가능 여부를 함께 봐야 한다.,검사/조립/체결이 묶인 후단 공정이라 작업공간과 버퍼 공간이 제한될 수 있다.,1.3840159638342142
6,A5,326.8739,635.7138,0.0,2680.034,0.8896399259512326,0.0,32-39,"핸들 브로칭 가공과 룸미러 가조립, 산업용 로봇, 2SET 버퍼 테이블, 제품별 이송 유닛",제품군별 route 차이와 버퍼 점유를 분리해서 해석해야 한다.,핸들과 룸미러 작업 내용이 달라 동일 설비 평균만 보면 제품 믹스 영향이 섞일 수 있다.,1.1538916822198901
7,A9_2,192.92900000000017,930.583,0.0,3133.281,0.9845817640160585,0.00018292822353828915,54-61,"코어 검사, 비전 검사, 직교 이송, 툴체인저, 조립검사, 볼트 공급/체결, 팔레트 대기/버퍼 공간이 결합된 후단 검사/조립 공정",A9 자체보다 A8/A9 공급 균형과 A3 반출 가능 여부를 함께 봐야 한다.,검사/조립/체결이 묶인 후단 공정이라 작업공간과 버퍼 공간이 제한될 수 있다.,1.0509444773767072
8,A6_TESLA,234.96659999999997,32.7456,0.0,2742.3305,0.8719881309983397,0.0,40-53,"드릴/TAP, 리벳/인서트 압입, 서보 프레스, 협동로봇, 버퍼 테이블이 포함된 가공/압입 구간",제품 종류별 EQ08/EQ09 분기와 A7 압입 순서를 따로 봐야 한다.,가공/압입은 실제 작업량과 설비 동작 시간이 병목의 주원인일 수 있다.,-0.03786891781801921
9,A1,170.07240000000004,350.23369999999994,0.0,2072.3050000000003,0.9593161985423531,0.008803584222475755,,,,,-0.08534114888710959
10,C2_FINISHED_STORAGE,26.687600000000003,2707.0995000000003,1.0,0.0,0.9870000012359763,7.663053083946275e-05,77-82,"완제품 창고(A11), 완제품 버퍼, 제품별 그립툴, 산업용 로봇 분류 적재, 룸미러/핸들 적재 공간","완제품 입고 지연은 제품별 적재 위치, 로봇 분류 작업, 후단 버퍼 여유와 연결된다.",완제품 버퍼와 적재 공간이 부족하면 A3 이후 반출이 구조적으로 막힌다.,-0.20014030839227098
11,BUFFER,0.0,0.0,73.1,0.0,0.0,0.0,,,,,-0.4143749125041954
12,AMR_LD250,140.1716,1628.3830000000005,0.0,0.0,0.9328231225426381,0.0017620681946690863,,,,,-0.7232983392430287
13,A2,2.246,135.7908,0.0,2627.2052000000003,0.93429919109203,0.0,,,,,-1.3825779976615784
14,A6_KONA,299.38419999999996,32.505,0.0,0.0,0.8777824459625637,0.0,40-53,"드릴/TAP, 리벳/인서트 압입, 서보 프레스, 협동로봇, 버퍼 테이블이 포함된 가공/압입 구간",제품 종류별 EQ08/EQ09 분기와 A7 압입 순서를 따로 봐야 한다.,가공/압입은 실제 작업량과 설비 동작 시간이 병목의 주원인일 수 있다.,-1.7145659191367457
15,A8,64.6618,27.7716,0.0,0.0,0.9528908124915099,0.0062006626115043845,,,,,-2.775430804270339
16,C1_RAW_STORAGE,41.118,350.23369999999994,0.0,0.0,0.8604074822594776,0.0,,,,,-2.876719419664504
17,FINISHED_STORAGE,0.0,0.0,1.0,0.0,0.0,0.0,,,,,-3.4809880734918273
