TRN_CD,TRN_DEV_ID,MBL_NMBR,CMP_EQ_ID,logical_process,count,mean_occupancy_sec,median_occupancy_sec,max_occupancy_sec,p90_occupancy_sec,count_clean,mean_occupancy_sec_clean,median_occupancy_sec_clean,max_occupancy_sec_clean,p90_occupancy_sec_clean,outlier_count
TR01,3,EQ04,EQ12,A9_2,587,11754.966783645656,3257.811,78815.313,74459.1102,319,1341.691106583072,1065.701,3594.089,3133.281,268
TR01,4,EQ04,EQ12,A9_2,670,10233.800174626866,2951.733,443698.127,16142.0049,392,1533.1948086734694,1424.2265,3597.43,3088.8331,278
TR01,2,EQ04,EQ12,A9_2,650,10355.927036923076,2196.268,327434.837,54019.8522,448,1375.9978191964287,1279.6855,3596.951,2933.9119,202
TR01,1,EQ04,EQ12,A9_2,684,9873.695081871345,3060.9955,438411.416,12498.94850000001,371,1322.668601078167,1032.902,3592.745,2923.637,313
TR01,3,EQ03,EQ13,A9_1,1313,13089.911595582636,1273.778,418777.216,12632.121599999991,1020,1141.8845931372548,812.8185,3599.469,2776.6959000000015,293
TR01,1,EQ06,EQ06,A4,1913,17232.39666440146,1526.72,755625.743,7989.9648,1376,1231.445340116279,934.2915,3597.889,2747.221,537
TR01,2,EQ06,EQ06,A4,2137,21677.60661675246,1574.414,766303.389,32794.594,1504,1208.4892765957447,901.2115,3598.387,2742.4753,633
TR01,3,EQ03,EQ08,A6_TESLA,2047,36341.999815828036,2217.722,754049.799,56855.936200000004,1246,1155.1433250401285,857.3975,3561.13,2742.3305,801
TR01,4,EQ03,EQ13,A9_1,1242,6496.005909017713,1214.569,418981.695,4475.429600000001,1028,1132.9522908560311,813.4295,3590.125,2705.1615,214
TR01,3,EQ06,EQ06,A4,2014,10809.337454816286,1491.761,761976.986,7333.4182,1418,1161.925485190409,842.451,3548.082,2701.2509,596
TR01,4,EQ06,EQ06,A4,2016,11438.95755704365,1400.399,761910.007,7357.469999999999,1502,1146.032155126498,818.7484999999999,3593.993,2680.6958,514
TR01,1,EQ07,EQ07,A5,1927,18335.94021069019,1190.628,754021.419,7169.7404000000015,1503,1122.1050219560877,782.156,3593.113,2680.034,424
TR01,1,EQ04,EQ04,A2,1996,26660.27530561122,1401.281,750021.601,54205.4635,1435,1136.5751296167248,872.461,3594.567,2627.2052000000003,561
TR01,2,EQ07,EQ07,A5,1815,10329.900338292011,1079.496,436867.466,7121.114600000012,1442,1084.029190707351,790.0319999999999,3591.097,2610.6052999999997,373
TR01,2,EQ04,EQ04,A2,1805,12975.219622160666,1327.094,439337.793,6539.9292000000005,1461,1214.2412984257357,942.483,3590.445,2609.45,344
TR01,4,EQ04,EQ04,A2,1681,11845.490465199286,1248.767,437293.162,8314.049,1299,1141.2080954580447,835.049,3597.35,2592.4088000000015,382
TR01,2,EQ03,EQ05,A3,2080,18542.9009125,1636.6135,754001.85,25308.4223,1345,1092.3492535315986,815.413,3599.278,2567.898800000002,735
TR01,2,EQ03,EQ08,A6_TESLA,2053,53542.74003263517,2261.811,766325.132,150924.0834,1172,1055.7400699658704,770.0509999999999,3595.766,2560.1359000000016,881
TR01,4,EQ07,EQ07,A5,1749,7459.985010863351,1003.128,436833.594,5843.9776,1442,1028.7904958391123,689.49,3596.029,2447.1063,307
TR01,3,EQ07,EQ07,A5,1863,10015.417007514761,1047.024,436808.768,6119.9436000000005,1538,1064.4426430429128,758.9575,3595.13,2443.9042999999997,325
TR01,3,EQ03,EQ05,A3,2324,15537.776429432013,1480.3294999999998,753935.23,61894.936200000004,1532,991.5609804177545,695.3845,3590.346,2433.1728000000003,792
TR01,1,EQ03,EQ13,A9_1,1683,53781.45572311348,1564.641,419090.61,320117.252,1099,1006.1303821656052,596.96,3555.583,2432.5492,584
TR01,1,EQ03,EQ10,A7,2375,5946.389474105264,930.531,406186.228,5734.964199999996,1963,977.0690891492613,667.516,3592.992,2420.125,412
TR01,2,EQ03,EQ10,A7,2494,16921.740775060145,956.2945,406147.165,6203.236700000017,1982,974.8379571140263,648.2,3596.55,2406.2132,512
TR01,2,EQ03,EQ13,A9_1,1179,13838.233008481764,1300.544,419308.534,10222.495400000002,835,1032.5334371257486,784.052,3586.266,2355.562,344
TR01,1,EQ03,EQ05,A3,2195,15791.618430979499,1528.861,753972.793,25215.5612,1417,1023.0413514467184,777.204,3584.294,2350.6638000000025,778
TR01,4,EQ03,EQ10,A7,2173,5557.468096180396,781.283,420183.65,6031.5686000000005,1827,901.2463114395183,551.567,3592.995,2313.7112,346
TR01,1,EQ03,EQ08,A6_TESLA,2056,59640.49731420234,2203.334,754067.49,324753.471,1159,1000.0738636755824,753.722,3576.872,2306.3658,897
TR01,3,EQ03,EQ10,A7,2343,7661.23550661545,900.013,437514.81,6269.283000000004,1909,912.5925453116815,615.713,3588.023,2301.6672000000003,434
TR01,4,EQ03,EQ08,A6_TESLA,1874,47211.388949306296,1352.279,762148.081,76648.7149,1249,996.3949855884708,762.005,3556.112,2264.1176,625
TR01,4,EQ03,EQ05,A3,1973,16568.258729346173,1677.816,753675.551,53586.69139999911,1235,965.0909773279353,671.633,3598.743,2235.0314000000003,738
TR01,1,EQ03,EQ03,A1,1500,12180.288745333333,736.6105,437555.856,36354.9556,1236,843.0547791262136,538.6179999999999,3589.505,2072.3050000000003,264
TR01,3,EQ03,EQ03,A1,1371,14521.18750547046,597.011,406327.244,4275.319,1196,774.5547625418061,470.5065,3586.673,2001.6485,175
TR01,2,EQ03,EQ03,A1,1340,6532.660170895523,602.2755,437057.431,3855.4221,1175,777.944129361702,511.117,3565.572,1878.0108000000018,165
TR01,3,EQ04,EQ04,A2,3024,7658.626590608465,834.4825,439337.894,6289.677100000001,2549,893.6936092585327,799.065,3533.244,1862.669800000001,475
TR01,4,EQ03,EQ03,A1,1126,5421.529662522203,542.7135000000001,436725.351,3129.3345,1013,715.4034718657452,464.126,3124.413,1856.4946000000002,113
