CMP_EQ_ID,logical_process,PRC_CMNT,ALARM,IDLE,RUN,total_status_sec,run_ratio,idle_ratio,alarm_ratio
EQ01,C1_RAW_STORAGE,C1 원자재 창고,0,739497,119976,859473,0.1395925177405224,0.8604074822594776,0.0
EQ02,AMR_LD90,AMR_LD90,125067,1349481,99685,1574233,0.06332290073959827,0.8572307911217717,0.07944630813863005
EQ03,A1,A1 소재 공급,10039,1093938,36354,1140331,0.03188021723517119,0.9593161985423531,0.008803584222475755
EQ04,A2,A2 수입 검사,0,1113779,78322,1192101,0.06570080890797005,0.93429919109203,0.0
EQ05,A3,A3 완제품 및 NG 배출부,0,913262,66439,979701,0.06781558863367497,0.932184411366325,0.0
EQ06,A4,A4 사상제거 & 레이저마킹 CELL,0,934165,224431,1158596,0.1937094552372009,0.8062905447627992,0.0
EQ07,A5,A5 핸들브로칭가공_룸미러 가조립 공정,0,895782,111122,1006904,0.11036007404876731,0.8896399259512326,0.0
EQ08,A6_TESLA,A6 드릴 및 TAP - 테슬라,0,952729,139865,1092594,0.12801186900166026,0.8719881309983397,0.0
EQ09,A6_KONA,A6 드릴 및 TAP - 코나,0,915104,127414,1042518,0.12221755403743628,0.8777824459625637,0.0
EQ10,A7,A7 동리벳_인서트압입,0,994561,186137,1180698,0.15764996637582177,0.8423500336241783,0.0
EQ11,A8,A8 핸들_룸미러 조립 공정,6573,1010110,43365,1060048,0.0409085248969858,0.9528908124915099,0.0062006626115043845
EQ12,A9_2,A9-2 코어검사-혼조립_외관검사,168,904233,13992,918393,0.015235307760403227,0.9845817640160585,0.00018292822353828915
EQ13,A9_1,A9-1 코어검사_볼트체결,484,860701,20461,881646,0.02320772736449777,0.9762432994648645,0.0005489731706376482
EQ14,AMR_LD250,AMR_LD250,2010,1064076,74619,1140705,0.0654148092626928,0.9328231225426381,0.0017620681946690863
EQ15,C2_FINISHED_STORAGE,C2 완제품 창고,62,798559,10456,809077,0.012923368233184233,0.9870000012359763,7.663053083946275e-05
